year,campus_id,building_id,consumption,co2_from_electric,gross_floor_area,consumption_m2
2019,Albury-Wodonga,1,11791.4872,12498.976432000001,1404.0,8.398495156695157
2019,Bundoora,1,137471.8669,145720.17891400002,1356939.4800000023,0.10131024185396961
2020,Albury-Wodonga,2,196738.68920000002,208543.01055200002,2649.0,74.26904084560212
2020,Bundoora,3,295182.54150000005,312893.49399,4098144.070000001,0.07202834660227062
2021,Albury-Wodonga,2,252480.69559999998,267629.537336,2649.0,95.31170086825216
2021,Bundoora,3,371539.5707,393831.9449420001,4098144.070000001,0.09066044637615678
2022,Albury-Wodonga,2,133575.21360000002,141589.726416,2649.0,50.424769195923
2022,Bundoora,2,209331.4921,221891.38162600002,2631655.6500000004,0.07954364853927602
